,categories_textform,short_name,price,sales_count
0,PERSONAL CARE & PHARMACY,Deodorant,8.49,111.0
1,nan,Sunkist Orange Soda,2.88,
2,HEALTH AND FITNESS,Emergen-C,12.59,54.0
3,GROCERIES,Crest Leave-On Teeth Whitening,49.99,109.0
4,nan,Diet Pepsi Cola Soda Pop,3.33,
5,nan,Olay Vitamin,7.49,
6,nan,Sunkist Orange Soda,2.88,
7,nan,Jumex,21.95,
8,nan,Lemon Lime Soda Pop,1.0,
9,BEVERAGES,Herbal Essences Sulfate-Free Honey,8.49,54.0
10,nan,Kellogg,5.24,27.0
11,nan,Diet Canada Dry Tonic,1.58,
12,nan,Pringles Potato Crisps Chips,2.24,
13,CELL PHONE ACCESSORIES,Speck Clear Presidio Perfect,26.98,0.0
14,GROCERIES,Olay,10.49,44.0
15,nan,Lipton,18.5,
16,nan,Sensodyne Pronamel Gentle Whitening Enamel Toothpaste,8.49,
17,nan,Bull Energy Drink,8.87,
18,nan,Topo Chico Sparkling,10.58,
19,GROCERIES,Spice Invisible,7.99,39.0
20,nan,Nature,5.04,
21,BEVERAGES,Oral-B Glide Pro-Health Cool Mint Dental Floss,9.49,442.0
22,nan,Gerber,2.34,
23,nan,Purely Inspired Collagen Protein Powder,20.26,
24,nan,Preparation H Cooling Spray,9.99,
25,GROCERIES,Crest Leave-On Teeth Whitening,66.99,74.0
26,GROCERIES,Nervive,24.49,144.0
27,BABY ITEMS,Olay,9.99,158.0
28,BEVERAGES,Olay Deep Hydration Serum,35.99,137.0
29,PERSONAL CARE,Sensodyne Extra Whitening Sensitivity Toothpaste,8.49,84.0
30,nan,Spray Cran- Grape Juice Drink,4.32,
31,BREAKFAST & CEREAL,Kellogg,4.04,674.0
32,nan,Polident,8.99,
33,GROCERIES,Trident Spearmint Sugar Free Gum,3.49,0.0
34,nan,Cheez-It Cheese Crackers,4.04,
35,nan,Sunkist Zero Sugar Orange Soda,2.88,
36,GROCERIES,Olay Regenerist Micro-Sculpting Serum,37.99,9.0
37,nan,Glaceau Smartwater,14.86,
38,BREAD & BAKERY,Olay Deep Hydrating Eye Gel,30.99,3.0
39,GROCERIES,Crest Whitening Therapy Charcoal Deep Clean Fluoride Toothpaste,6.99,328.0
40,GROCERIES,Fanta Orange Soda,2.75,0.0
41,nan,Pure,14.71,
42,BEVERAGES,Canada Dry Ginger Ale Soda,2.88,0.0
43,GROCERIES,Kellogg,6.24,2959.0
44,nan,Thoughtfully,22.49,
45,SNACKS & CANDY,Pringles Potato Crisps Chips,2.24,466.0
46,GROCERIES,Gillette Fusion5 Proglide Men,24.99,355.0
47,nan,Sunkist Grape Soda,17.99,
48,DAIRY,Cheez-It Cheese Crackers,6.59,305.0
49,FROZEN FOOD,Eggo Frozen Waffles,3.54,774.0
50,nan,Advil Coated Caplets,5.99,
51,nan,Squirt Caffeine-Free Soda,11.34,
52,nan,Gerber,2.34,
53,nan,Polar Beverages,0.98,
54,GROCERIES,Almond Breeze Unsweetened Original Almondmilk,4.19,193.0
55,BAKING ESSENTIALS,Truvia Calorie Free Sweetener,5.24,63.0
56,GROCERIES,Insignia Black Micro Usb Vehicle Charger,13.99,43.0
57,COOKIES,Pringles Potato Crisps Chips,2.24,89.0
58,nan,Excedrin Extra Strength Headache Relief Caplets,7.99,
59,PERSONAL CARE,Parodontax Teeth Whitening Toothpaste,7.49,4.0
60,nan,Bull Energy Drink,8.87,
61,PERSONAL CARE & PHARMACY,Olay,27.99,137.0
62,nan,Sunkist Grape Soda,17.99,
63,HOUSEHOLD,Febreze,3.49,147.0
64,GROCERIES,Rapid,11.89,0.0
65,,Cheez-It Cheese Crackers,3.94,
66,nan,Rc Cola Soda,2.88,
67,nan,Rc Cola Soda,2.88,
68,nan,Ibc Cream Soda Made,3.24,
69,nan,Pure,14.71,
70,DAIRY,Cheez-It Cheese Crackers,3.74,894.0
71,nan,Pringles Potato Crisps Chips,2.24,
72,nan,Muscle Milk Genuine Protein Shake,6.98,
73,PERSONAL CARE & PHARMACY,Deodorant,8.49,111.0
74,nan,Kellogg,5.24,27.0
75,DELI,Crest Pro-Health Intense Mouthwash,5.29,73.0
76,HEALTH & MEDICINE,Vicks Pure Zzzs De-Stress,19.99,1.0
77,nan,Advil Coated Caplets,5.99,
78,nan,Apple Watch,344.99,
79,nan,Pringles Potato Crisps Chips,2.24,
80,COOKIES,Olay Ultimate Eye Cream,30.99,225.0
81,COOKIES,Pringles Potato Crisps Chips,6.49,278.0
82,nan,Barq,6.18,
83,PERSONAL CARE,Sensodyne Extra Whitening Sensitivity Toothpaste,8.49,84.0
84,nan,Bull Energy Drink,8.87,
85,nan,Zero Sugar Lemon Lime Soda,2.88,
86,nan,Sensodyne Pronamel Gentle Whitening Enamel Toothpaste,8.49,
87,nan,Lipton,2.48,
88,nan,Lipton Diet,18.96,
89,GROCERIES,Excedrin Migraine Caplets,15.99,113.0
90,SNACKS & CANDY,Pringles Potato Crisps Chips,2.24,466.0
91,nan,Lipton,18.5,
92,COOKIES,Epson Rapid Receipt Rr-60 Mobile Receipt,155.98,1.0
93,DELI,Crest Pro-Health Intense Mouthwash,5.29,73.0
94,BEVERAGES,Diet,24.06,0.0
95,nan,Olay Vitamin,7.49,
96,VITAMINS & SUPPLEMENTS,Centrum Multivitamin,21.99,0.0
97,nan,Sunkist Strawberry Lemonade Soda Cans,3.98,
98,SNACKS & CANDY,Pringles Potato Crisps Chips,2.24,466.0
99,DAIRY,Olay,27.99,110.0
100,PET CARE,Sensodyne Pronamel Intensive Repair Sensitivity Toothpaste,8.49,0.0
101,PERSONAL CARE,Gillette,26.99,116.0
102,nan,Pringles Potato Crisps Chips,1.74,
103,nan,Kellogg,3.34,
104,GROCERIES,Spice Invisible,7.99,39.0
105,GROCERIES,Toothpaste,6.39,15.0
106,BEVERAGES,Olay Deep Hydration Serum,35.99,137.0
107,nan,Oz,35.89,
108,SNACKS & CANDY,Pringles Potato Crisps Chips,1.74,466.0
109,nan,Rc Cola Soda,2.88,
110,nan,7Up Cherry,18.75,
111,GROCERIES,Strawberry,1.89,4.0
112,nan,Zero Sugar Root Beer Soda,2.88,
113,nan,Roast K-Cup,11.49,
114,BABY ITEMS,Olay Lotion Moisturizer,11.99,118.0
115,GROCERIES,Tom,5.99,7.0
116,nan,Peanut Butter Core Crisps,3.99,9.0
117,HEALTH CARE,Advil Pm Pain Reliever,5.09,0.0
118,BEVERAGES,Olay Deep Hydration Serum,35.99,137.0
119,nan,Pringles Potato Crisps Chips,2.24,
120,BEVERAGES,Honest Kids,3.6,2.0
121,nan,Caffeine-Free,25.0,
122,nan,Caffeine-Free,2.88,
123,nan,Lipton Diet,18.96,
124,GROCERIES,Olay Regenerist Micro-Sculpting Serum,37.99,9.0
125,GROCERIES,Febreze Odor-Eliminating Fade Defy,7.49,268.0
126,GROCERIES,Trident Sugar Free Gum,3.49,12.0
127,VITAMINS & SUPPLEMENTS,Centrum Multivitamin,21.99,0.0
128,nan,Diet Dr Pepper Soda,10.18,
129,nan,Mello Yello Citrus Flavored Soda Soft Drinks,26.39,
130,GROCERIES,Tide,8.49,519.0
131,GROCERIES,Oral-B Pro,22.99,47.0
132,nan,Flavored Sparkling,21.99,
133,nan,Organic,2.69,
134,nan,Lipton Iced Tea Mix Black Tea,10.83,
135,SEXUAL WELLNESS,Nature,10.99,0.0
136,nan,Pringles Potato Crisps Chips,1.74,
137,PERSONAL CARE,Gillette,26.99,116.0
138,nan,Gerber,2.34,
139,nan,Thomas,3.14,
140,nan,Spray Cran- Grape Juice Drink,4.32,
141,nan,Lipton Iced Tea Mix Black Tea,10.83,
142,,Cheez-It Cheese Crackers,4.15,
143,PERSONAL CARE,Ultra Thin Pads Unscented Size,9.99,237.0
144,BREAD & BAKERY,Vegan Lemon Pound Cake,6.39,1.0
145,nan,Diet Pepsi Cola Soda Pop,10.18,
146,DAIRY,Pringles Potato Crisps Chips,1.74,33.0
147,nan,Diet Dr Pepper Soda,12.94,
148,nan,Propel Electrolyte,1.0,
149,GROCERIES,Trident Sugar Free Gum,3.49,12.0
150,SNACKS & CANDY,Pringles Potato Crisps Chips,1.74,466.0
151,HOME,Spice Anti-Perspirant Deodorant,7.99,0.0
152,nan,Pringles Potato Crisps Chips,1.74,11.0
153,GROCERIES,Clinical Strength Clear Gel,11.49,218.0
154,nan,Mountain Dew Citrus Soda Pop,10.18,
155,SNACKS & CANDY,Pringles Potato Crisps Chips,1.74,466.0
156,HEALTH & MEDICINE,Preparation H Hemorrhoid Relief Ointment Tube,12.49,214.0
157,nan,Primal Snack Mates® Kids Gluten-Free,4.99,
158,nan,Cytosport Muscle Milk Protein Shake,6.29,
159,nan,Sensodyne Pronamel Gentle Whitening Enamel Toothpaste,8.49,
160,GROCERIES,Classic,5.99,16.0
161,nan,Align Advanced Prebiotic Supplement,26.99,
162,GROCERIES,Sunkist Orange Soda,3.98,0.0
163,VITAMINS & SUPPLEMENTS,Align Probiotic Supplement,21.99,3.0
164,GROCERIES,Kellogg,3.54,
165,VITAMINS & SUPPLEMENTS,Centrum Multivitamin,21.99,0.0
166,nan,Bull Energy Drink,8.87,
167,nan,Meatballs Barbados,5.49,
168,PERSONAL CARE,Sensodyne Repair,8.49,36.0
169,DAIRY,% Virgin Coconut Oil,4.79,34.0
170,BEVERAGES,Canada Dry Ginger Ale Soda,2.88,0.0
171,DAIRY,Roll,4.49,3.0
172,PET CARE,Sensodyne Pronamel Intensive Repair Sensitivity Toothpaste,8.49,0.0
173,nan,Variety Pack Beer,23.99,
174,BABY ITEMS,Olay Lotion Moisturizer,9.99,164.0
175,nan,Sunkist Strawberry Lemonade Soda Cans,3.98,
176,DAIRY,Olay,27.99,110.0
177,GROCERIES,Sunkist Orange Soda,3.98,0.0
178,nan,Lipton Lemon Iced Tea,18.75,
179,nan,Nature,3.74,
180,nan,Buckthorn Hydrating Body Lotion,12.49,
181,nan,Bull Energy Drink,8.87,
182,nan,Bull Energy Drink,8.87,
183,GROCERIES,Oral-B Bacteria Blast Manual Toothbrush,2.49,264.0
184,nan,Diet,2.88,
185,COOKIES,Pringles Potato Crisps Chips,1.74,89.0
186,nan,Dr Pepper Soda,10.18,
187,PERSONAL CARE,Sensodyne Extra Whitening Sensitivity Toothpaste,8.49,84.0
188,nan,Bodyarmor Sport Drink,1.24,
189,COOKIES,Dark Chocolate Peanut Butter Bars,8.99,1.0
190,nan,Zz Bloody Mary Mix,4.48,
191,DAIRY,Organic Yokids Lowfat Strawberry Banana,4.49,3.0
192,FITNESS & PERSONAL CARE,Withit Silver,37.98,0.0
193,COLD & ALLERGY ESSENTIALS,Advil Coated Tablets Pain Ibuprofen,9.39,0.0
194,DAIRY,Pringles Potato Crisps Chips,1.74,33.0
195,BEVERAGES,Folgers Coffee,15.49,1779.0
196,nan,Clear Mega Stand Up,25.59,
197,nan,Mountain Dew Citrus Soda Pop,3.33,
198,DAIRY,Goat Milk Cheese,7.49,3.0
199,nan,Pringles Potato Crisps Chips,1.74,
200,PERSONAL CARE,Gillette,26.99,116.0
201,nan,Rockstar Punched,5.28,
202,nan,Sunkist Zero Sugar Orange Soda,2.88,
203,nan,Mountain Dew Zero Sugar Citrus Soda Pop,4.98,
204,nan,Zz Bloody Mary Mix,4.48,
205,nan,Organic,7.99,
206,DAIRY,Olay,27.99,110.0
207,PERSONAL CARE,Ultra Thin Pads Unscented Size,9.99,237.0
208,nan,Nacho Veggie Crisps,3.29,
209,GROCERIES,Gillette Skinguard Men,22.99,129.0
210,nan,Glaceau Smartwater,14.86,
211,nan,Coca-Cola Zero Sugar Soda Pop,4.88,
212,nan,Kellogg,5.24,27.0
213,nan,Lipton Diet,18.96,
214,nan,7Up Cherry,18.75,
215,HEALTH CARE,Preparation H Hemorrhoid Cooling Gel Tube,12.49,80.0
216,BEVERAGES,Herbal Essences Sulfate-Free Honey,8.49,54.0
217,nan,Coffee Dark Roast Ground Coffee,11.03,
218,COOKIES,Olay Ultimate Eye Cream,30.99,225.0
219,nan,Olay Vitamin,11.99,
220,nan,Muscle Milk Genuine Protein Shake,6.98,
221,nan,Glaceau Smartwater,14.86,
222,nan,Pringles Potato Crisps Chips,1.74,
223,nan,Tropical Plants Bin,19.99,
224,nan,Smoked Oysters,3.79,
225,BAKING ESSENTIALS,Truvia Calorie Free Sweetener,5.24,63.0
226,nan,7Up Cherry,18.75,
227,BABY ITEMS,Fixodent Denture Adhesive Powder,7.99,77.0
228,nan,Gerber,2.34,
229,nan,Lipton Diet,18.96,
230,nan,Bodyarmor Sport Drink,1.24,
231,DAIRY & EGGS,Fit Strawberry Banana Nonfat Yogurt,5.49,5.0
232,nan,Thoughtfully,22.49,
233,nan,Excedrin Migraine Pain Relief Caplets,3.69,
234,nan,Propel Watermelon,1.0,
235,HEALTH & MEDICINE,Vicks Pure Zzzs De-Stress,19.99,1.0
236,nan,Schweppes Caffeine-Free Ginger Ale,18.75,
237,BEVERAGES,Canada Dry Ginger Ale Soda,2.88,0.0
238,nan,Awaken Detox Scrub,12.79,2.0
239,nan,Dr Pepper Soda,10.18,
240,GROCERIES,Cocoa Puffs Frosted Corn Puffs,6.49,
241,nan,Squirt Caffeine-Free Soda,11.34,
242,nan,Zero Sugar Lemon Lime Soda,2.88,
243,nan,Dunkin Original Blend Whole Bean Coffee,13.92,
244,BEVERAGES,Oral-B Glide Pro-Health Cool Mint Dental Floss,9.49,442.0
245,nan,Pringles Potato Crisps Chips,1.74,
246,MEAT & SEAFOOD,Mild,4.99,3.0
247,nan,Lipton,2.48,
248,nan,Pringles Potato Crisps Chips,1.74,
249,nan,Propel Watermelon Flavored Enhanced,5.98,
250,GROCERIES,Sprite Lemon Lime Soda Soft Drink,1.96,0.0
251,BREAD & BAKERY,Olay Deep Hydrating Eye Gel,30.99,3.0
252,BEVERAGES,Koia Protein,2.99,575.0
253,nan,Zz Bloody Mary Mix,4.48,
254,DAIRY,Pringles Potato Crisps Chips,1.74,33.0
255,BEVERAGES,Tampax Pearl,10.99,116.0
256,nan,Apple Airpods Pro Wireless Active Noise Canceling Bluetooth Earbuds,195.98,11.0
257,BABY ITEMS,Olay Lotion Moisturizer,11.99,118.0
258,nan,Bull Energy Drink,8.87,
259,nan,Vanilla Unsweetened Oatmilk,3.89,
260,GROCERIES,Crest Pro-Health Advanced Gum Protection Toothpaste,2.99,554.0
261,PERSONAL CARE,Parodontax Teeth Whitening Toothpaste,6.79,4.0
262,nan,Propel Watermelon Flavored Enhanced,5.98,
263,nan,Pringles Potato Crisps Chips,1.74,
