,brand,age,sentiment_pos,sentiment_neg,sentiment_neu
3254,7Up,35 to 44 years,32.6842,33.6272,33.6886
3261,7Up,85 years and over,33.5,32.5921,33.9079
3262,7Up,Under 5 years,33.1974,33.0439,33.7588
3260,7Up,75 to 84 years,33.5351,33.114,33.3509
3259,7Up,65 to 74 years,33.0702,33.4167,33.5132
3258,7Up,60 to 64 years,33.2237,33.5263,33.25
3257,7Up,55 to 59 years,32.9167,33.1228,33.9605
3256,7Up,5 to 9 years,33.6842,33.3202,32.9956
3255,7Up,45 to 54 years,33.4737,33.364,33.1623
3253,7Up,25 to 34 years,33.3202,33.75,32.9298
3250,7Up,10 to 14 years,33.2851,33.5351,33.1798
3251,7Up,15 to 19 years,33.9298,32.9825,33.0877
3252,7Up,20 to 24 years,33.6184,32.8421,33.5395
5936,9Lives,60 to 64 years,32.886,33.386,33.7281
5938,9Lives,75 to 84 years,34.0219,32.6886,33.2895
5931,9Lives,25 to 34 years,33.1447,33.5702,33.2851
5932,9Lives,35 to 44 years,33.6009,33.3158,33.0833
5937,9Lives,65 to 74 years,33.6535,32.8904,33.4561
5935,9Lives,55 to 59 years,33.693,32.8509,33.4561
5939,9Lives,85 years and over,33.6623,33.3772,32.9605
5930,9Lives,20 to 24 years,33.3816,33.136,33.4825
5933,9Lives,45 to 54 years,33.2895,32.9254,33.7851
5929,9Lives,15 to 19 years,32.9737,33.2632,33.7632
5928,9Lives,10 to 14 years,33.1711,33.25,33.5789
5940,9Lives,Under 5 years,32.6272,33.864,33.5088
5934,9Lives,5 to 9 years,33.3816,33.557,33.0614
3056,A&W,15 to 19 years,33.9956,33.0789,32.9254
3055,A&W,10 to 14 years,33.3947,33.1447,33.4605
3067,A&W,Under 5 years,33.364,33.4912,33.1447
3058,A&W,25 to 34 years,33.8553,32.9956,33.1491
3066,A&W,85 years and over,33.557,33.4781,32.9649
3065,A&W,75 to 84 years,33.8114,33.2061,32.9825
3064,A&W,65 to 74 years,33.057,33.7982,33.1447
3063,A&W,60 to 64 years,32.8465,34.0614,33.0921
3062,A&W,55 to 59 years,33.4781,33.7018,32.8202
3057,A&W,20 to 24 years,32.8421,33.4693,33.6886
3061,A&W,5 to 9 years,33.8202,32.9737,33.2061
3060,A&W,45 to 54 years,33.9956,32.8465,33.1579
3059,A&W,35 to 44 years,33.0921,33.6316,33.2763
2479,ACT Oral Care,65 to 74 years,32.9956,33.1009,33.9035
2476,ACT Oral Care,5 to 9 years,33.5132,32.9956,33.4912
2477,ACT Oral Care,55 to 59 years,33.2851,33.6579,33.057
2481,ACT Oral Care,85 years and over,33.1272,33.0175,33.8553
2482,ACT Oral Care,Under 5 years,33.3553,33.4956,33.1491
2480,ACT Oral Care,75 to 84 years,33.0746,33.1096,33.8158
2478,ACT Oral Care,60 to 64 years,33.3816,33.4035,33.2149
2475,ACT Oral Care,45 to 54 years,32.9737,33.3114,33.7149
2473,ACT Oral Care,25 to 34 years,33.6316,33.0351,33.3333
2471,ACT Oral Care,15 to 19 years,33.0263,33.3947,33.5789
2472,ACT Oral Care,20 to 24 years,33.3114,33.5044,33.1842
2474,ACT Oral Care,35 to 44 years,33.2675,33.2193,33.5132
2470,ACT Oral Care,10 to 14 years,33.3553,33.25,33.3947
2761,Absolut,45 to 54 years,32.8377,33.4956,33.6667
2762,Absolut,5 to 9 years,32.6667,33.443,33.8904
2763,Absolut,55 to 59 years,33.5439,33.6184,32.8377
2758,Absolut,20 to 24 years,33.6579,33.4211,32.9211
2765,Absolut,65 to 74 years,34.1184,32.7675,33.114
2766,Absolut,75 to 84 years,32.5789,33.8728,33.5482
2767,Absolut,85 years and over,33.7851,33.0132,33.2018
2768,Absolut,Under 5 years,33.0702,33.7895,33.1404
2759,Absolut,25 to 34 years,33.4956,32.614,33.8904
2760,Absolut,35 to 44 years,33.6579,33.3509,32.9912
2756,Absolut,10 to 14 years,33.8377,32.9211,33.2412
2764,Absolut,60 to 64 years,33.2237,34.0789,32.6974
2757,Absolut,15 to 19 years,33.1096,33.4298,33.4605
5834,Adams (Peanut Butter),75 to 84 years,33.8904,32.8026,33.307
5825,Adams (Peanut Butter),15 to 19 years,33.3421,33.0614,33.5965
5824,Adams (Peanut Butter),10 to 14 years,33.1184,33.6623,33.2193
5835,Adams (Peanut Butter),85 years and over,33.3114,32.864,33.8246
5826,Adams (Peanut Butter),20 to 24 years,32.9123,33.5614,33.5263
5828,Adams (Peanut Butter),35 to 44 years,33.7149,33.1447,33.1404
5827,Adams (Peanut Butter),25 to 34 years,32.7105,33.3816,33.9079
5830,Adams (Peanut Butter),5 to 9 years,33.2237,33.2281,33.5482
5831,Adams (Peanut Butter),55 to 59 years,33.3947,33.5833,33.0219
5832,Adams (Peanut Butter),60 to 64 years,33.2237,33.0351,33.7412
5833,Adams (Peanut Butter),65 to 74 years,33.0044,33.3684,33.6272
5836,Adams (Peanut Butter),Under 5 years,33.6053,33.0746,33.3202
5829,Adams (Peanut Butter),45 to 54 years,33.3465,33.0219,33.6316
2552,Advil,35 to 44 years,33.2807,32.8509,33.8684
2548,Advil,10 to 14 years,33.6009,33.5175,32.8816
2549,Advil,15 to 19 years,33.3904,32.9956,33.614
2550,Advil,20 to 24 years,32.9693,33.3991,33.6316
2553,Advil,45 to 54 years,33.5307,33.4211,33.0482
2551,Advil,25 to 34 years,33.5263,32.8684,33.6053
2555,Advil,55 to 59 years,33.6053,33.193,33.2018
2556,Advil,60 to 64 years,33.0395,33.5132,33.4474
2557,Advil,65 to 74 years,32.9386,33.3202,33.7412
2558,Advil,75 to 84 years,33.3684,33.1053,33.5263
2559,Advil,85 years and over,33.8421,33.3246,32.8333
2554,Advil,5 to 9 years,32.9825,33.7939,33.2237
2560,Advil,Under 5 years,33.2807,33.0175,33.7018
708,Air Wick,5 to 9 years,33.0965,33.5132,33.3904
709,Air Wick,55 to 59 years,33.4781,32.943,33.5789
710,Air Wick,60 to 64 years,33.3202,33.5702,33.1096
705,Air Wick,25 to 34 years,33.4518,33.4211,33.1272
704,Air Wick,20 to 24 years,33.1272,32.8991,33.9737
703,Air Wick,15 to 19 years,33.0789,33.4649,33.4561
711,Air Wick,65 to 74 years,33.0658,32.9605,33.9737
706,Air Wick,35 to 44 years,33.2544,33.1491,33.5965
712,Air Wick,75 to 84 years,33.0175,34.0088,32.9737
713,Air Wick,85 years and over,33.0614,33.6009,33.3377
714,Air Wick,Under 5 years,33.3509,33.3553,33.2939
707,Air Wick,45 to 54 years,33.5965,33.7763,32.6272
702,Air Wick,10 to 14 years,32.8158,33.3596,33.8246
2615,Ajax,20 to 24 years,33.807,33.1623,33.0307
2614,Ajax,15 to 19 years,33.8816,32.8246,33.2939
2613,Ajax,10 to 14 years,33.3816,33.3816,33.2368
2619,Ajax,5 to 9 years,33.3553,33.5395,33.1053
2617,Ajax,35 to 44 years,33.1667,33.4868,33.3465
2618,Ajax,45 to 54 years,33.5175,33.6798,32.8026
2620,Ajax,55 to 59 years,33.3246,33.5044,33.1711
2621,Ajax,60 to 64 years,33.6272,33.1096,33.2632
2622,Ajax,65 to 74 years,33.0702,33.057,33.8728
2623,Ajax,75 to 84 years,33.057,33.5614,33.3816
2624,Ajax,85 years and over,32.9693,33.6184,33.4123
2625,Ajax,Under 5 years,33.7018,32.7368,33.5614
2616,Ajax,25 to 34 years,33.3509,33.0219,33.6272
590,Ajinomoto,45 to 54 years,33.2982,33.1667,33.5351
