,sales_count,name_store,name_product,street,city,state,country,latitude,longitude,zip_code,products,sales,unpriced_sales,priced_sales,start_date,end_date,is_actual_price,price,inventory_price
0,111.0,walgreens,Clairol,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,03/15/2022,,TRUE,8.49,8.99
1,,walmart supercenter,Persil,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,2.88,3.48
2,54.0,fairway market,Purell,4th & state st,skagway,AK,USA,59.56644,-135.3283,99840,0.0,0.0,0.0,0.0,03/19/2022,,TRUE,12.59,14.16
3,109.0,walgreens,Duracell,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,03/16/2022,,TRUE,49.99,54.99
4,,walmart supercenter,Old Spice,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,3.33,3.88
5,,walgreens,Stayfree,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,02/14/2022,,TRUE,7.49,9.49
6,,walmart supercenter,Sensodyne,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,2.88,3.48
7,,walmart supercenter,Neutrogena,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,21.95,5.98
8,,walmart supercenter,Oral-B,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,1.0,1.33
9,54.0,walgreens,LOreal,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,03/16/2022,,TRUE,8.49,9.99
10,27.0,walgreens,Revlon,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,02/15/2022,,TRUE,5.24,5.49
11,,walmart supercenter,Twinnings of London,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,1.58,4.88
12,,walgreens,Cheez Whiz,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,02/07/2022,,TRUE,2.24,2.49
13,0.0,best 4 less,Natures Bakery,108 viking way,juneau,AK,USA,0.0,0.0,0,0.0,0.0,0.0,0.0,03/02/2022,,TRUE,26.98,50.98
14,44.0,walgreens,Welchs,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,03/16/2022,,TRUE,10.49,11.49
15,,walmart supercenter,Cadbury,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,18.5,5.48
16,,walgreens,Nature Valley,1721 e parks hwy,wasilla,AK,USA,61.577462,-149.407119,99694,141.0,141.0,0.0,141.0,03/15/2022,,TRUE,8.49,9.49
17,,walmart supercenter,Kashi Cereals,9248 parkway east,juneau,AK,USA,58.3592,-134.51496,99824,15879.0,10985.0,10321.0,664.0,06/16/2022,,TRUE,8.87,9.86
