,brand,1.0,2.0,3.0,4.0,5.0,sentiment_pos,sentiment_neg,sentiment_neu,ratings,loyal,disloyal,neutral,highest_income,lowest_income,race_demo
0,7Up,26.0,6.0,0.0,13.0,56.0,33.341,33.249,33.41,3.9,33.315,33.318,33.366,"74,999","14,999",83.21
1,9Lives,7.0,8.0,8.0,14.0,62.0,33.345,33.237,33.418,3.9,33.398,33.238,33.364,"74,999","14,999",83.21
2,ACT Oral Care,21.0,0.0,0.0,21.0,59.0,33.254,33.269,33.477,3.9,33.325,33.333,33.342,"74,999","14,999",83.21
3,Absolut,2.0,2.0,4.0,4.0,89.0,33.353,33.37,33.277,3.9,33.438,33.342,33.221,"74,999","14,999",83.21
4,Adams (Peanut Butter),4.0,3.0,9.0,13.0,71.0,33.292,33.215,33.493,3.9,33.304,33.446,33.251,"74,999","14,999",83.21
5,Advil,1.0,1.0,2.0,6.0,90.0,33.335,33.255,33.41,3.9,33.419,33.3,33.281,"74,999","14,999",83.21
6,Air Wick,1.0,1.0,4.0,11.0,82.0,33.209,33.386,33.405,3.9,33.323,33.143,33.534,"74,999","14,999",83.21
7,Ajax,11.0,9.0,11.0,19.0,50.0,33.401,33.283,33.316,3.9,33.423,33.273,33.304,"74,999","14,999",83.21
8,Ajinomoto,1.0,1.0,3.0,12.0,83.0,33.277,33.345,33.378,3.9,33.442,33.29,33.268,"74,999","14,999",83.21
9,Andalou Naturals,2.0,2.0,4.0,10.0,82.0,33.328,33.258,33.414,3.9,33.378,33.247,33.374,"74,999","14,999",83.21
10,Anker,3.0,1.0,3.0,9.0,84.0,33.124,33.544,33.332,3.9,33.345,33.39,33.265,"74,999","14,999",83.21
11,Annies,6.0,6.0,10.0,16.0,62.0,33.292,33.373,33.334,3.9,33.455,33.217,33.328,"74,999","14,999",83.21
12,Apple iPhone,4.0,1.0,8.0,7.0,80.0,33.288,33.305,33.407,3.9,33.142,33.515,33.343,"74,999","14,999",83.21
13,Aquafina,17.0,3.0,3.0,3.0,73.0,33.303,33.371,33.326,3.9,33.392,33.355,33.253,"74,999","14,999",83.21
14,Aquafresh,2.0,1.0,4.0,7.0,87.0,33.226,33.484,33.289,3.9,33.42,33.154,33.426,"74,999","14,999",83.21
15,Archway,3.0,2.0,5.0,10.0,81.0,33.301,33.345,33.355,3.9,33.258,33.3,33.442,"74,999","14,999",83.21
16,Argo Tea,37.0,16.0,16.0,16.0,16.0,33.468,33.2,33.332,3.9,33.461,33.29,33.249,"74,999","14,999",83.21
17,AriZona,2.0,2.0,4.0,8.0,84.0,33.398,33.306,33.295,3.9,33.308,33.331,33.361,"74,999","14,999",83.21
18,Ariel,11.0,4.0,17.0,12.0,56.0,33.254,33.355,33.392,3.9,33.105,33.351,33.544,"74,999","14,999",83.21
19,Arm & Hammer,2.0,1.0,3.0,9.0,85.0,33.355,33.365,33.28,3.9,33.372,33.378,33.25,"74,999","14,999",83.21
20,Arnold White Bread,1.0,2.0,5.0,14.0,78.0,33.29,33.365,33.344,3.9,33.263,33.29,33.447,"74,999","14,999",83.21
21,Arrowhead Mills,11.0,3.0,4.0,11.0,72.0,33.305,33.311,33.384,3.9,33.459,33.411,33.13,"74,999","14,999",83.21
22,At-A-Glance,1.0,1.0,5.0,12.0,81.0,33.352,33.394,33.254,3.9,33.299,33.283,33.418,"74,999","14,999",83.21
23,Athenos,0.0,9.0,9.0,25.0,56.0,33.275,33.289,33.436,3.9,33.532,33.385,33.083,"74,999","14,999",83.21
24,Aveeno,6.0,4.0,6.0,11.0,73.0,33.5,33.281,33.219,3.9,33.418,33.167,33.415,"74,999","14,999",83.21
25,Avery (Office Supplies),2.0,1.0,4.0,10.0,83.0,33.202,33.401,33.396,3.9,33.344,33.272,33.384,"74,999","14,999",83.21
26,Axe,3.0,2.0,5.0,11.0,79.0,33.205,33.448,33.346,3.9,33.224,33.318,33.458,"74,999","14,999",83.21
27,BIC,18.0,7.0,19.0,17.0,39.0,33.285,33.35,33.364,3.9,33.299,33.23,33.471,"74,999","14,999",83.21
28,Back to Nature,3.0,3.0,7.0,14.0,73.0,33.355,33.423,33.222,3.9,33.359,33.283,33.358,"74,999","14,999",83.21
29,Bai,2.0,2.0,4.0,9.0,83.0,33.326,33.335,33.339,3.9,33.322,33.38,33.298,"74,999","14,999",83.21
30,Bakers Joy,0.0,1.0,1.0,11.0,86.0,33.376,33.334,33.29,3.9,33.288,33.366,33.346,"74,999","14,999",83.21
31,Bar S,0.0,0.0,0.0,0.0,100.0,33.278,33.397,33.325,3.9,33.264,33.34,33.396,"74,999","14,999",83.21
32,Barilla,3.0,0.0,5.0,6.0,85.0,33.352,33.273,33.376,3.9,33.101,33.285,33.614,"74,999","14,999",83.21
33,Barqs,12.0,0.0,5.0,0.0,83.0,33.213,33.4,33.387,3.9,33.415,33.265,33.321,"74,999","14,999",83.21
34,Bear Creek,1.0,1.0,5.0,12.0,80.0,33.304,33.414,33.282,3.9,33.361,33.356,33.283,"74,999","14,999",83.21
35,Bear Naked,0.0,20.0,20.0,22.0,38.0,33.464,33.189,33.347,3.9,33.376,33.34,33.284,"74,999","14,999",83.21
36,Beech-Nut,7.0,1.0,4.0,9.0,80.0,33.448,33.127,33.425,3.9,33.414,33.284,33.302,"74,999","14,999",83.21
37,Bertolli,5.0,5.0,3.0,15.0,72.0,33.305,33.332,33.363,3.9,33.275,33.377,33.348,"74,999","14,999",83.21
38,Betty Crocker,8.0,0.0,9.0,10.0,73.0,33.3,33.296,33.404,3.9,33.294,33.407,33.299,"74,999","14,999",83.21
39,Biotene,1.0,1.0,4.0,12.0,81.0,33.267,33.378,33.356,3.9,33.312,33.369,33.319,"74,999","14,999",83.21
40,Blue Bonnet,34.0,12.0,0.0,30.0,24.0,33.283,33.291,33.426,3.9,33.423,33.232,33.345,"74,999","14,999",83.21
41,Blue Buffalo,3.0,1.0,4.0,10.0,83.0,33.232,33.337,33.431,3.9,33.339,33.23,33.431,"74,999","14,999",83.21
42,Blue Bunny,3.0,2.0,7.0,11.0,77.0,33.365,33.321,33.314,4.8,33.402,33.404,33.194,"74,999","14,999",83.21
43,Boars Head,0.0,0.0,0.0,71.0,29.0,33.301,33.471,33.229,3.9,33.363,33.354,33.283,"74,999","14,999",83.21
44,Bobs Red Mill,1.0,0.0,4.0,7.0,88.0,33.275,33.401,33.324,3.9,33.187,33.491,33.323,"74,999","14,999",83.21
45,Boca,3.0,2.0,5.0,13.0,77.0,33.387,33.299,33.314,3.9,33.379,33.331,33.29,"74,999","14,999",83.21
46,Borden,1.0,1.0,3.0,7.0,89.0,33.172,33.508,33.32,3.9,33.333,33.298,33.369,"74,999","14,999",83.21
47,Bostitch,2.0,1.0,3.0,10.0,83.0,33.28,33.398,33.322,3.9,33.343,33.398,33.259,"74,999","14,999",83.21
48,Bounce,1.0,0.0,2.0,9.0,87.0,33.398,33.193,33.409,3.9,33.37,33.236,33.394,"74,999","14,999",83.21
49,Bounty Paper Towels,14.0,4.0,5.0,7.0,70.0,33.376,33.304,33.321,3.9,33.377,33.303,33.32,"74,999","14,999",83.21
50,Brachs,16.0,4.0,8.0,12.0,61.0,33.291,33.36,33.349,3.9,33.28,33.339,33.382,"74,999","14,999",83.21
51,Bragg,4.0,1.0,4.0,9.0,82.0,33.433,33.334,33.233,3.9,33.243,33.299,33.459,"74,999","14,999",83.21
52,Breyers,2.0,1.0,5.0,12.0,81.0,33.239,33.443,33.318,4.0,33.34,33.315,33.345,"74,999","14,999",83.21
53,Bridgford,13.0,6.0,12.0,11.0,58.0,33.263,33.197,33.54,3.9,33.31,33.319,33.371,"74,999","14,999",83.21
54,Brooks (Beans),11.0,0.0,0.0,0.0,89.0,33.457,33.336,33.207,3.9,33.32,33.203,33.477,"74,999","14,999",83.21
55,Brother,7.0,6.0,6.0,12.0,69.0,33.278,33.436,33.286,3.9,33.334,33.32,33.345,"74,999","14,999",83.21
56,Bubly (Sparkling Water),10.0,4.0,8.0,11.0,67.0,33.327,33.315,33.358,3.9,33.306,33.323,33.371,"74,999","14,999",83.21
57,Budweiser,5.0,2.0,3.0,10.0,79.0,33.19,33.412,33.398,3.9,33.26,33.559,33.18,"74,999","14,999",83.21
58,Bugles,4.0,4.0,9.0,14.0,69.0,33.28,33.297,33.424,3.9,33.285,33.433,33.282,"74,999","14,999",83.21
59,Buitoni,1.0,2.0,4.0,11.0,81.0,33.237,33.483,33.28,3.9,33.339,33.41,33.251,"74,999","14,999",83.21
60,Bulls-Eye,1.0,1.0,4.0,9.0,86.0,33.303,33.282,33.414,3.9,33.403,33.325,33.272,"74,999","14,999",83.21
61,Bumble Bee,2.0,1.0,3.0,11.0,83.0,33.265,33.381,33.354,3.9,33.254,33.416,33.33,"74,999","14,999",83.21
62,Cadbury,3.0,2.0,2.0,6.0,86.0,33.272,33.368,33.361,3.9,33.337,33.289,33.374,"74,999","14,999",83.21
63,Calgon,1.0,1.0,4.0,13.0,82.0,33.451,33.098,33.451,3.9,33.298,33.179,33.524,"74,999","14,999",83.21
64,Calico,6.0,4.0,6.0,15.0,68.0,33.469,33.163,33.367,3.9,33.328,33.439,33.233,"74,999","14,999",83.21
